experiment,workflow,energy_trace,shift_mode,c_value,deadline_factor,deadline,task_ordering,scheduling_hash,power_distribution,min_makespan,makespan,workflow_stretch,brown_energy_used,green_energy_used,total_energy,green_energy_not_used,max_active_tasks,active_tasks_mean,active_tasks_std,number_of_tasks,scheduling_violations
J45_E1,montage,trace-1,none,0,1,20876,energy,4460309587033641322,exponential,20876,20662,20662,0,3768783.785351752,3768783.785351752,6512843216.214648,762,50.166666666666664,153.91009986540752,992,0
J45_E2,montage,trace-1,none,0,1,20876,power,4460309587033641322,exponential,20876,20662,20662,0,3768783.785349951,3768783.785349951,6512843216.214648,762,50.166666666666664,153.91009986540752,992,0
J45_E3,montage,trace-1,none,0,1,20876,runtime,4460309587033641322,exponential,20876,20662,20662,1.0439850317567334e-06,3768783.7853525258,3768783.78535357,6512843216.214648,762,50.166666666666664,153.91009986540752,992,0
J45_E4,montage,trace-1,none,0,1,20876,runtime_ascending,4460309587033641322,exponential,20876,20662,20662,5.775389499973471e-07,3768783.785352985,3768783.7853535623,6512843216.214648,762,50.166666666666664,153.91009986540752,992,0
J45_E5,montage,trace-1,none,0.2,1,20876,energy,-6808899217434166503,exponential,20876,20836,20836,0,3768783.7853517532,3768783.7853517532,6512843216.214648,762,34.78431372549019,107.14202046358659,992,0
J45_E6,montage,trace-1,none,0.2,1,20876,power,-1623282403038867272,exponential,20876,20863,20863,0,3768783.78534995,3768783.78534995,6512843216.214648,762,144.05208333333334,238.3159941091777,992,0
J45_E7,montage,trace-1,none,0.2,1,20876,runtime,6206812887360194995,exponential,20876,20836,20836,1.0204707745486985e-06,3768783.78535255,3768783.7853535702,6512843216.214648,762,35.733333333333334,113.47855223865794,992,0
J45_E8,montage,trace-1,none,0.2,1,20876,runtime_ascending,-360571183906229434,exponential,20876,20691,20691,8.323567168844193e-07,3768783.7853527362,3768783.7853535684,6512843216.214648,762,96.27906976744185,203.1111970350695,992,0
J45_E9,montage,trace-1,none,0.5,1,20876,energy,2663072677730676274,exponential,20876,20662,20662,0,3768783.785351753,3768783.785351753,6512843216.214648,762,33.13725490196079,107.21642031104062,992,0
J45_E10,montage,trace-1,none,0.5,1,20876,power,2172780855846241334,exponential,20876,20662,20662,0,3768783.7853499493,3768783.7853499493,6512843216.214648,762,164.53535353535352,245.53923636461158,992,0
J45_E11,montage,trace-1,none,0.5,1,20876,runtime,-1113716814405807702,exponential,20876,20662,20662,1.0178314191477966e-06,3768783.7853525504,3768783.7853535684,6512843216.214647,762,33.666666666666664,113.60197661532607,992,0
