energy_trace,power_distribution,workflow,c_value,deadline_factor,shift_mode,task_ordering,AVERAGE_of_brown_energy_used,AVERAGE_of_green_energy_used,AVERAGE_of_makespan,AVERAGE_of_workflow_stretch
trace-1,gaussian,blast,0,2,left,energy,0.000000027,46168876.84314,22709,22709
trace-1,gaussian,blast,0,2,left,power,0.0000000293,46168876.8431399,23977.4,23977.4
trace-1,gaussian,blast,0,2,left,runtime,0.000000027,46168876.84314,22709,22709
trace-1,gaussian,blast,0,2,left,runtime_ascending,0.0000000293,46168876.8431399,22709,22709
trace-1,gaussian,blast,0,2,none,energy,0.000000027,46168876.84314,22709,22709
trace-1,gaussian,blast,0,2,none,power,144084.576426507,46024792.2667135,23977.4,23977.4
trace-1,gaussian,blast,0,2,none,runtime,0.000000027,46168876.84314,22709,22709
trace-1,gaussian,blast,0,2,none,runtime_ascending,953669.864991526,45215206.9781485,22709,22709
trace-1,gaussian,blast,0,2,right-left,energy,0.000000027,46168876.84314,25085.4,25085.4
trace-1,gaussian,blast,0,2,right-left,power,0.0000000293,46168876.84314,25312.5,25312.5
trace-1,gaussian,blast,0,2,right-left,runtime,0.000000027,46168876.84314,25085.4,25085.4
trace-1,gaussian,blast,0,2,right-left,runtime_ascending,0.0000000293,46168876.84314,25312.5,25312.5
trace-1,gaussian,blast,0,4,left,energy,0.000000027,46168876.84314,22709,22709
trace-1,gaussian,blast,0,4,left,power,0.0000000293,46168876.8431399,23977.4,23977.4
trace-1,gaussian,blast,0,4,left,runtime,0.000000027,46168876.84314,22709,22709
trace-1,gaussian,blast,0,4,left,runtime_ascending,0.0000000293,46168876.8431399,22709,22709
trace-1,gaussian,blast,0,4,none,energy,0.000000027,46168876.84314,22709,22709
trace-1,gaussian,blast,0,4,none,power,144084.576426507,46024792.2667135,23977.4,23977.4
trace-1,gaussian,blast,0,4,none,runtime,0.000000027,46168876.84314,22709,22709
trace-1,gaussian,blast,0,4,none,runtime_ascending,953669.864991526,45215206.9781485,22709,22709
trace-1,gaussian,blast,0,4,right-left,energy,0.000000027,46168876.84314,25085.4,25085.4
trace-1,gaussian,blast,0,4,right-left,power,0.0000000293,46168876.84314,25312.5,25312.5
trace-1,gaussian,blast,0,4,right-left,runtime,0.000000027,46168876.84314,25085.4,25085.4
