energy_trace,power_distribution,workflow,c_value,deadline_factor,shift_mode,task_ordering,AVERAGE_of_brown_energy_used,STD_of_brown_energy_used,AVERAGE_of_green_energy_used,STD_of_green_energy_used,AVERAGE_of_makespan,STD_of_makespan,AVERAGE_of_workflow_stretch,STD_of_workflow_stretch
trace-1,uniform,blast,0.000000,2,left,energy,0.000000,0.000000,1851840.763502,735710.077205,4521.900000,1.286684,4520.900000,1.286684
trace-1,uniform,blast,0.000000,2,left,power,0.000000,0.000000,1851840.763502,735710.077205,4725.100000,250.074855,4724.100000,250.074855
trace-1,uniform,blast,0.000000,2,left,runtime,0.000000,0.000000,1851840.763502,735710.077205,4521.900000,1.286684,4520.900000,1.286684
trace-1,uniform,blast,0.000000,2,left,runtime_ascending,0.000000,0.000000,1851840.763502,735710.077205,4521.900000,1.286684,4520.900000,1.286684
trace-1,uniform,blast,0.000000,2,none,energy,0.000000,0.000000,1851840.763502,735710.077205,4521.900000,1.286684,4520.900000,1.286684
trace-1,uniform,blast,0.000000,2,none,power,0.000000,0.000000,1851840.763502,735710.077205,4725.100000,250.074855,4724.100000,250.074855
trace-1,uniform,blast,0.000000,2,none,runtime,0.000000,0.000000,1851840.763502,735710.077205,4521.900000,1.286684,4520.900000,1.286684
trace-1,uniform,blast,0.000000,2,none,runtime_ascending,21389.998311,26995.718967,1830450.765191,712213.509757,4521.900000,1.286684,4520.900000,1.286684
trace-1,uniform,blast,0.000000,2,right-left,energy,0.000000,0.000000,1851840.763502,735710.077205,4725.100000,250.074855,4724.100000,250.074855
trace-1,uniform,blast,0.000000,2,right-left,power,0.000000,0.000000,1851840.763502,735710.077205,4725.100000,250.074855,4724.100000,250.074855
trace-1,uniform,blast,0.000000,2,right-left,runtime,0.000000,0.000000,1851840.763502,735710.077205,4725.100000,250.074855,4724.100000,250.074855
trace-1,uniform,blast,0.000000,2,right-left,runtime_ascending,0.000000,0.000000,1851840.763502,735710.077205,4725.100000,250.074855,4724.100000,250.074855
trace-1,uniform,blast,0.000000,4,left,energy,0.000000,0.000000,1851840.763502,735710.077205,4521.900000,1.286684,4520.900000,1.286684
trace-1,uniform,blast,0.000000,4,left,power,0.000000,0.000000,1851840.763502,735710.077205,4725.100000,250.074855,4724.100000,250.074855
trace-1,uniform,blast,0.000000,4,left,runtime,0.000000,0.000000,1851840.763502,735710.077205,4521.900000,1.286684,4520.900000,1.286684
trace-1,uniform,blast,0.000000,4,left,runtime_ascending,0.000000,0.000000,1851840.763502,735710.077205,4521.900000,1.286684,4520.900000,1.286684
trace-1,uniform,blast,0.000000,4,none,energy,0.000000,0.000000,1851840.763502,735710.077205,4521.900000,1.286684,4520.900000,1.286684
trace-1,uniform,blast,0.000000,4,none,power,0.000000,0.000000,1851840.763502,735710.077205,4725.100000,250.074855,4724.100000,250.074855
trace-1,uniform,blast,0.000000,4,none,runtime,0.000000,0.000000,1851840.763502,735710.077205,4521.900000,1.286684,4520.900000,1.286684
trace-1,uniform,blast,0.000000,4,none,runtime_ascending,21389.998311,26995.718967,1830450.765191,712213.509757,4521.900000,1.286684,4520.900000,1.286684
trace-1,uniform,blast,0.000000,4,right-left,energy,0.000000,0.000000,1851840.763502,735710.077205,4725.100000,250.074855,4724.100000,250.074855
trace-1,uniform,blast,0.000000,4,right-left,power,0.000000,0.000000,1851840.763502,735710.077205,4725.100000,250.074855,4724.100000,250.074855
trace-1,uniform,blast,0.000000,4,right-left,runtime,0.000000,0.000000,1851840.763502,735710.077205,4725.100000,250.074855,4724.100000,250.074855
trace-1,uniform,blast,0.000000,4,right-left,runtime_ascending,0.000000,0.000000,1851840.763502,735710.077205,4725.100000,250.074855,4724.100000,250.074855
trace-1,uniform,blast,0.000000,8,left,energy,0.000000,0.000000,1851840.763502,735710.077205,4521.900000,1.286684,4520.900000,1.286684
trace-1,uniform,blast,0.000000,8,left,power,0.000000,0.000000,1851840.763502,735710.077205,4725.100000,250.074855,4724.100000,250.074855
trace-1,uniform,blast,0.000000,8,left,runtime,0.000000,0.000000,1851840.763502,735710.077205,4521.900000,1.286684,4520.900000,1.286684
trace-1,uniform,blast,0.000000,8,left,runtime_ascending,0.000000,0.000000,1851840.763502,735710.077205,4521.900000,1.286684,4520.900000,1.286684
trace-1,uniform,blast,0.000000,8,none,energy,0.000000,0.000000,1851840.763502,735710.077205,4521.900000,1.286684,4520.900000,1.286684
trace-1,uniform,blast,0.000000,8,none,power,0.000000,0.000000,1851840.763502,735710.077205,4725.100000,250.074855,4724.100000,250.074855
trace-1,uniform,blast,0.000000,8,none,runtime,0.000000,0.000000,1851840.763502,735710.077205,4521.900000,1.286684,4520.900000,1.286684
trace-1,uniform,blast,0.000000,8,none,runtime_ascending,21389.998311,26995.718967,1830450.765191,712213.509757,4521.900000,1.286684,4520.900000,1.286684
trace-1,uniform,blast,0.000000,8,right-left,energy,0.000000,0.000000,1851840.763502,735710.077205,4725.100000,250.074855,4724.100000,250.074855
trace-1,uniform,blast,0.000000,8,right-left,power,0.000000,0.000000,1851840.763502,735710.077205,4725.100000,250.074855,4724.100000,250.074855
trace-1,uniform,blast,0.000000,8,right-left,runtime,0.000000,0.000000,1851840.763502,735710.077205,4725.100000,250.074855,4724.100000,250.074855
trace-1,uniform,blast,0.000000,8,right-left,runtime_ascending,0.000000,0.000000,1851840.763502,735710.077205,4725.100000,250.074855,4724.100000,250.074855
trace-1,uniform,blast,0.500000,2,left,energy,0.000000,0.000000,1851840.763502,735710.077205,4725.100000,250.074855,4724.100000,250.074855
trace-1,uniform,blast,0.500000,2,left,power,0.000000,0.000000,1851840.763502,735710.077205,4725.100000,250.074855,4724.100000,250.074855
trace-1,uniform,blast,0.500000,2,left,runtime,0.000000,0.000000,1851840.763502,735710.077205,4725.100000,250.074855,4724.100000,250.074855
trace-1,uniform,blast,0.500000,2,left,runtime_ascending,0.000000,0.000000,1851840.763502,735710.077205,4790.100000,297.225485,4789.100000,297.225485
trace-1,uniform,blast,0.500000,2,none,energy,0.000000,0.000000,1851840.763502,735710.077205,6777.900000,2.643651,6494.600000,2.412928
trace-1,uniform,blast,0.500000,2,none,power,0.000000,0.000000,1851840.763502,735710.077205,6364.400000,521.018276,6057.900000,590.093298
trace-1,uniform,blast,0.500000,2,none,runtime,0.000000,0.000000,1851840.763502,735710.077205,6777.900000,2.643651,6663.800000,144.867602
trace-1,uniform,blast,0.500000,2,none,runtime_ascending,0.000000,0.000000,1851840.763502,735710.077205,6224.200000,5.411921,6223.200000,5.411921
trace-1,uniform,blast,0.500000,2,right-left,energy,0.000000,0.000000,1851840.763502,735710.077205,4725.100000,250.074855,4724.100000,250.074855
trace-1,uniform,blast,0.500000,2,right-left,power,0.000000,0.000000,1851840.763502,735710.077205,4725.100000,250.074855,4724.100000,250.074855
trace-1,uniform,blast,0.500000,2,right-left,runtime,0.000000,0.000000,1851840.763502,735710.077205,4725.100000,250.074855,4724.100000,250.074855
trace-1,uniform,blast,0.500000,2,right-left,runtime_ascending,0.000000,0.000000,1851840.763502,735710.077205,4725.100000,250.074855,4724.100000,250.074855
trace-1,uniform,blast,0.500000,4,left,energy,0.000000,0.000000,1851840.763502,735710.077205,4725.100000,250.074855,4724.100000,250.074855
trace-1,uniform,blast,0.500000,4,left,power,0.000000,0.000000,1851840.763502,735710.077205,4725.100000,250.074855,4724.100000,250.074855
trace-1,uniform,blast,0.500000,4,left,runtime,0.000000,0.000000,1851840.763502,735710.077205,4725.100000,250.074855,4724.100000,250.074855
trace-1,uniform,blast,0.500000,4,left,runtime_ascending,0.000000,0.000000,1851840.763502,735710.077205,4790.100000,297.225485,4789.100000,297.225485
trace-1,uniform,blast,0.500000,4,none,energy,0.000000,0.000000,1851840.763502,735710.077205,9038.600000,2.951459,8472.600000,2.412928
trace-1,uniform,blast,0.500000,4,none,power,0.000000,0.000000,1851840.763502,735710.077205,9148.000000,1145.537137,8428.100000,1421.964092
trace-1,uniform,blast,0.500000,4,none,runtime,0.000000,0.000000,1851840.763502,735710.077205,9038.600000,2.951459,8811.300000,290.743128
trace-1,uniform,blast,0.500000,4,none,runtime_ascending,0.000000,0.000000,1851840.763502,735710.077205,9615.400000,6.203941,9614.400000,6.203941
trace-1,uniform,blast,0.500000,4,right-left,energy,0.000000,0.000000,1851840.763502,735710.077205,4725.100000,250.074855,4724.100000,250.074855
trace-1,uniform,blast,0.500000,4,right-left,power,0.000000,0.000000,1851840.763502,735710.077205,4725.100000,250.074855,4724.100000,250.074855
trace-1,uniform,blast,0.500000,4,right-left,runtime,0.000000,0.000000,1851840.763502,735710.077205,4725.100000,250.074855,4724.100000,250.074855
trace-1,uniform,blast,0.500000,4,right-left,runtime_ascending,0.000000,0.000000,1851840.763502,735710.077205,4725.100000,250.074855,4724.100000,250.074855
trace-1,uniform,blast,0.500000,8,left,energy,0.000000,0.000000,1851840.763502,735710.077205,4725.100000,250.074855,4724.100000,250.074855
trace-1,uniform,blast,0.500000,8,left,power,0.000000,0.000000,1851840.763502,735710.077205,4725.100000,250.074855,4724.100000,250.074855
