timestamp,interval_in_seconds,solar_irradiance_in_W_m2
2016-06-02 18:00:01,4471500,123
2016-06-02 18:05:01,4471800,118
2016-06-02 18:10:01,4472100,133
2016-06-02 18:15:01,4472400,203
2016-06-02 18:20:01,4472700,191
2016-06-02 18:25:01,4473000,161
2016-06-02 18:30:01,4473300,136
2016-06-02 18:35:01,4473600,117
2016-06-02 18:40:01,4473900,106
2016-06-02 18:45:01,4474200,96
2016-06-02 18:50:01,4474500,93
2016-06-02 18:55:01,4474800,91
2016-06-02 19:00:01,4475100,77
2016-06-02 19:05:01,4475400,63
2016-06-02 19:10:01,4475700,59
2016-06-02 19:15:01,4476000,64
2016-06-02 19:20:01,4476300,65
2016-06-02 19:25:01,4476600,84
2016-06-02 19:30:01,4476900,85
2016-06-02 19:35:01,4477200,76
2016-06-02 19:40:01,4477500,67
2016-06-02 19:45:01,4477800,58
2016-06-02 19:50:01,4478100,54
2016-06-02 19:55:01,4478400,50
2016-06-02 20:00:01,4478700,40
2016-06-02 20:05:01,4479000,29
2016-06-02 20:10:01,4479300,38
2016-06-02 20:15:01,4479600,35
2016-06-02 20:20:01,4479900,30
2016-06-02 20:25:01,4480200,30
2016-06-02 20:30:01,4480500,25
2016-06-02 20:35:01,4480800,25
2016-06-02 20:40:01,4481100,24
2016-06-02 20:45:01,4481400,22
2016-06-02 20:50:01,4481700,20
2016-06-02 20:55:01,4482000,15
2016-06-02 21:00:01,4482300,0
2016-06-02 21:05:01,4482600,0
2016-06-02 21:10:01,4482900,0
2016-06-02 21:15:01,4483200,0
2016-06-02 21:20:01,4483500,0
2016-06-02 21:25:01,4483800,0
2016-06-02 21:30:01,4484100,0
2016-06-02 21:35:01,4484400,0
2016-06-02 21:40:01,4484700,0
2016-06-02 21:45:01,4485000,0
2016-06-02 21:50:01,4485300,0
2016-06-02 21:55:01,4485600,0
2016-06-02 22:00:01,4485900,0
2016-06-02 22:05:01,4486200,0
2016-06-02 22:10:01,4486500,0
2016-06-02 22:15:01,4486800,0
2016-06-02 22:20:01,4487100,0
2016-06-02 22:25:01,4487400,0
2016-06-02 22:30:01,4487700,0
2016-06-02 22:35:01,4488000,0
2016-06-02 22:40:01,4488300,0
